n,seed,protocol_type,solver_backend,instance_dataset,instance_hash,exact_feasible,exact_objective,exact_runtime,exact_status,exact_timeout,cmsa_feasible,cmsa_objective,cmsa_runtime,cmsa_total_time,cmsa_validation,improvement_gap_pct
20,1,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",4a386845ae144178,False,,62.057939318999956,TIME_LIMIT,True,True,333.3897048945947,120.0058472889998,120.0,,
20,2,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",09bd53427bf4605b,False,,61.792637514000035,TIME_LIMIT,True,True,314.4789501591195,120.03499579000004,120.0,,
20,3,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",8a2e950e271c587c,False,,61.95948388900001,TIME_LIMIT,True,True,306.65586853591026,120.08907946199997,120.0,,
20,4,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",48577e1c51743a3f,False,,62.00067823800009,TIME_LIMIT,True,True,287.17675565444915,120.09621462299992,120.0,,
20,5,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",31afed63cbfaac96,False,,62.025689631000205,TIME_LIMIT,True,True,344.1943055068761,120.00599108300003,120.0,,
20,6,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",a2fbbd834f5ab15b,False,,62.12035738000009,TIME_LIMIT,True,True,352.0660868407846,120.0972366450003,120.0,,
20,7,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",1c3d7dd5027ff878,False,,61.947538973000064,TIME_LIMIT,True,True,349.5245109204103,120.09999097400032,120.0,,
20,8,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",c8586281f3a90751,False,,61.947008279999864,TIME_LIMIT,True,True,288.16576618220535,120.10652798699994,120.0,,
20,9,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",d9ceb99f0685d530,False,,61.94915092099973,TIME_LIMIT,True,True,385.6616901248727,120.094834902,120.0,,
20,10,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",797e41d58a7dc05f,False,,61.96350135900002,TIME_LIMIT,True,True,317.132527342573,120.05154312200011,120.0,,
30,1,smoke_120s,highs,"independent_synthetic_reproduction (40 instances, 10 per size)",6af8125474f88fbc,False,,67.12530608199995,TIME_LIMIT,True,True,405.05906980014316,120.06914582299987,120.0,,
