n,age,seed,instance_id,instance_hash,original_variables,free_variables,fixed_zero_variables,fixed_one_variables,active_constraints_before_presolve,active_nonzeros_before_presolve,presolved_variables,presolved_constraints,presolved_nonzeros,solver_backend,measurement_method
20,2,1,uniform_n20_seed1,4a386845ae144178,3023.0,1631.0,1392.0,0.0,87940.0,199905.0,,,,highs,Active pre-presolve dimensions (HiGHS)
20,2,2,uniform_n20_seed2,09bd53427bf4605b,,,0.0,0.0,,,,,,highs,Active pre-presolve dimensions (HiGHS)
20,5,1,uniform_n20_seed1,4a386845ae144178,,,0.0,0.0,,,,,,highs,Active pre-presolve dimensions (HiGHS)
20,5,2,uniform_n20_seed2,09bd53427bf4605b,3023.0,1668.0,1355.0,0.0,88129.0,208178.0,,,,highs,Active pre-presolve dimensions (HiGHS)
30,2,1,uniform_n30_seed1,6af8125474f88fbc,,,0.0,0.0,,,,,,highs,Active pre-presolve dimensions (HiGHS)
30,2,2,uniform_n30_seed2,a90c8df99055692e,,,,,,,,,,highs,Active pre-presolve dimensions (HiGHS)
30,5,1,uniform_n30_seed1,6af8125474f88fbc,,,0.0,0.0,,,,,,highs,Active pre-presolve dimensions (HiGHS)
30,5,2,uniform_n30_seed2,a90c8df99055692e,,,,,,,,,,highs,Active pre-presolve dimensions (HiGHS)
40,2,1,uniform_n40_seed1,226ed7b14684ca5f,,,,,,,,,,highs,Active pre-presolve dimensions (HiGHS)
40,2,2,uniform_n40_seed2,4e4d4c3a4c833874,,,,,,,,,,highs,Active pre-presolve dimensions (HiGHS)
40,5,1,uniform_n40_seed1,226ed7b14684ca5f,,,,,,,,,,highs,Active pre-presolve dimensions (HiGHS)
40,5,2,uniform_n40_seed2,4e4d4c3a4c833874,,,,,,,,,,highs,Active pre-presolve dimensions (HiGHS)
50,2,1,uniform_n50_seed1,a7cb32583f0f71ef,,,0.0,0.0,,,,,,highs,Active pre-presolve dimensions (HiGHS)
50,2,2,uniform_n50_seed2,35c1389ebbfcc7f7,,,0.0,0.0,,,,,,highs,Active pre-presolve dimensions (HiGHS)
50,5,1,uniform_n50_seed1,a7cb32583f0f71ef,,,0.0,0.0,,,,,,highs,Active pre-presolve dimensions (HiGHS)
50,5,2,uniform_n50_seed2,35c1389ebbfcc7f7,,,0.0,0.0,,,,,,highs,Active pre-presolve dimensions (HiGHS)
