tag,instance,actual_customers,method,feasible,objective,runtime,mip_gap,status,timeout,proven_optimal,validation,n_variables,n_constraints,n_nonzeros,n_label,maxradius,source_file
table1_n10_r20_uniform-51-n10-maxradius-20,uniform-51-n10-maxradius-20,9,exact,True,301.1840246080579,1.0170127229999935,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,20,uniform-51-n10-maxradius-20.txt
table1_n10_r20_uniform-52-n10-maxradius-20,uniform-52-n10-maxradius-20,9,exact,True,303.87346969962573,1.2079491739999924,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,20,uniform-52-n10-maxradius-20.txt
table1_n10_r40_uniform-51-n10-maxradius-40,uniform-51-n10-maxradius-40,9,exact,True,301.1840246080579,0.6651307789999805,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,40,uniform-51-n10-maxradius-40.txt
table1_n10_r40_uniform-52-n10-maxradius-40,uniform-52-n10-maxradius-40,9,exact,True,303.87346969962573,2.091949069000009,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,40,uniform-52-n10-maxradius-40.txt
table1_n10_r60_uniform-51-n10-maxradius-60,uniform-51-n10-maxradius-60,9,exact,True,301.1840246080579,1.409431987000005,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,60,uniform-51-n10-maxradius-60.txt
table1_n10_r60_uniform-52-n10-maxradius-60,uniform-52-n10-maxradius-60,9,exact,True,303.87346969962573,10.912049964999994,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,60,uniform-52-n10-maxradius-60.txt
table1_n10_r100_uniform-51-n10-maxradius-100,uniform-51-n10-maxradius-100,9,exact,True,296.8801151992065,18.127651466000003,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,100,uniform-51-n10-maxradius-100.txt
table1_n10_r100_uniform-52-n10-maxradius-100,uniform-52-n10-maxradius-100,9,exact,True,307.31862584342474,25.26730766000003,0.22418943096005428,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,100,uniform-52-n10-maxradius-100.txt
table1_n10_r150_uniform-51-n10-maxradius-150,uniform-51-n10-maxradius-150,9,exact,True,382.40366175807964,25.26168714299996,0.4242625236565352,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,150,uniform-51-n10-maxradius-150.txt
table1_n10_r150_uniform-52-n10-maxradius-150,uniform-52-n10-maxradius-150,9,exact,True,292.5197689068482,25.262723038000047,0.4251202681147276,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,150,uniform-52-n10-maxradius-150.txt
table1_n10_r200_uniform-51-n10-maxradius-200,uniform-51-n10-maxradius-200,9,exact,True,332.7919728108854,25.283813669999972,0.39961185033848995,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,200,uniform-51-n10-maxradius-200.txt
table1_n10_r200_uniform-52-n10-maxradius-200,uniform-52-n10-maxradius-200,9,exact,True,220.80445701150938,25.207696217999967,0.4202848671475053,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,200,uniform-52-n10-maxradius-200.txt
table1_n20_r5_uniform-61-n20-maxradius-5,uniform-61-n20-maxradius-5,19,exact,True,548.6612001444939,27.05899557700002,0.3580358619230948,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,5,uniform-61-n20-maxradius-5.txt
table1_n20_r5_uniform-62-n20-maxradius-5,uniform-62-n20-maxradius-5,19,exact,True,494.7481914469344,27.10455109000003,0.3666091413466396,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,5,uniform-62-n20-maxradius-5.txt
table1_n20_r10_uniform-61-n20-maxradius-10,uniform-61-n20-maxradius-10,19,exact,True,436.8334690789799,27.001481248999994,0.19749890029676956,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,10,uniform-61-n20-maxradius-10.txt
table1_n20_r10_uniform-62-n20-maxradius-10,uniform-62-n20-maxradius-10,19,exact,True,531.2025257432483,27.018540117999976,0.4178017947025165,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,10,uniform-62-n20-maxradius-10.txt
table1_n20_r15_uniform-61-n20-maxradius-15,uniform-61-n20-maxradius-15,19,exact,True,523.7615577204457,27.097626212000023,0.3351814124074475,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,15,uniform-61-n20-maxradius-15.txt
table1_n20_r15_uniform-62-n20-maxradius-15,uniform-62-n20-maxradius-15,19,exact,True,452.34639660909494,27.049231036999913,0.29944048371806226,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,15,uniform-62-n20-maxradius-15.txt
table1_n20_r20_uniform-61-n20-maxradius-20,uniform-61-n20-maxradius-20,19,exact,True,422.0435697501438,27.057584101999964,0.1673739593322786,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,20,uniform-61-n20-maxradius-20.txt
table1_n20_r20_uniform-62-n20-maxradius-20,uniform-62-n20-maxradius-20,19,exact,True,517.6258568779166,27.045621729999993,0.3902074272317331,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,20,uniform-62-n20-maxradius-20.txt
table1_n20_r30_uniform-61-n20-maxradius-30,uniform-61-n20-maxradius-30,19,exact,True,421.25942372128463,26.966792120000036,0.1730042991897566,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,30,uniform-61-n20-maxradius-30.txt
table1_n20_r30_uniform-62-n20-maxradius-30,uniform-62-n20-maxradius-30,19,exact,True,495.58962139374665,27.053331026000023,0.38157186527662734,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,2749,78650,271045,20,30,uniform-62-n20-maxradius-30.txt
table1_n20_r40_uniform-61-n20-maxradius-40,uniform-61-n20-maxradius-40,19,exact,False,,27.045787754000003,,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),True,False,,2749,78650,271045,20,40,uniform-61-n20-maxradius-40.txt
