tag,instance,actual_customers,method,feasible,objective,runtime,mip_gap,status,timeout,proven_optimal,validation,n_variables,n_constraints,n_nonzeros,n_label,novisit_pct,source_file
table2_n10_novisit10_uniform-51-n10-novisit-10-rep_1,uniform-51-n10-novisit-10-rep_1,9,exact,True,315.7837648744158,25.199741431000007,0.30391268760600143,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,10,uniform-51-n10-novisit-10-rep_1.txt
table2_n10_novisit10_uniform-51-n10-novisit-10-rep_10,uniform-51-n10-novisit-10-rep_10,9,exact,True,315.7837648744158,25.20372332499994,0.30391268760600143,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,10,uniform-51-n10-novisit-10-rep_10.txt
table2_n10_novisit20_uniform-51-n10-novisit-20-rep_1,uniform-51-n10-novisit-20-rep_1,9,exact,True,266.0030315494658,25.27543599899991,0.05998191307024029,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,20,uniform-51-n10-novisit-20-rep_1.txt
table2_n10_novisit20_uniform-51-n10-novisit-20-rep_10,uniform-51-n10-novisit-20-rep_10,9,exact,True,347.79154978508166,25.26896907699995,0.3268917190538838,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,20,uniform-51-n10-novisit-20-rep_10.txt
table2_n10_novisit30_uniform-51-n10-novisit-30-rep_1,uniform-51-n10-novisit-30-rep_1,9,exact,True,286.3745948547136,25.279332683000007,0.14531517816351605,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,30,uniform-51-n10-novisit-30-rep_1.txt
table2_n10_novisit30_uniform-51-n10-novisit-30-rep_10,uniform-51-n10-novisit-30-rep_10,9,exact,True,273.21788204472443,25.267594961999976,0.11122405244463143,Time limit reached. (HiGHS Status 13: Time limit reached),True,False,,724,10725,37550,10,30,uniform-51-n10-novisit-30-rep_10.txt
table2_n10_novisit40_uniform-51-n10-novisit-40-rep_1,uniform-51-n10-novisit-40-rep_1,9,exact,True,287.60077154382213,15.045493570999952,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,40,uniform-51-n10-novisit-40-rep_1.txt
table2_n10_novisit40_uniform-51-n10-novisit-40-rep_10,uniform-51-n10-novisit-40-rep_10,9,exact,True,278.47366054629197,23.58915475499998,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,40,uniform-51-n10-novisit-40-rep_10.txt
table2_n10_novisit50_uniform-51-n10-novisit-50-rep_1,uniform-51-n10-novisit-50-rep_1,9,exact,True,282.51589659249066,19.00249273999998,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,50,uniform-51-n10-novisit-50-rep_1.txt
table2_n10_novisit50_uniform-51-n10-novisit-50-rep_10,uniform-51-n10-novisit-50-rep_10,9,exact,True,286.03107010289284,18.454321198999992,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,50,uniform-51-n10-novisit-50-rep_10.txt
table2_n10_novisit60_uniform-51-n10-novisit-60-rep_1,uniform-51-n10-novisit-60-rep_1,9,exact,True,278.25462181642655,22.819901906999917,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,60,uniform-51-n10-novisit-60-rep_1.txt
table2_n10_novisit60_uniform-51-n10-novisit-60-rep_10,uniform-51-n10-novisit-60-rep_10,9,exact,True,264.03603679304575,4.0423365650001415,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,60,uniform-51-n10-novisit-60-rep_10.txt
table2_n10_novisit70_uniform-51-n10-novisit-70-rep_1,uniform-51-n10-novisit-70-rep_1,9,exact,True,299.1186860301526,6.55373903099985,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,70,uniform-51-n10-novisit-70-rep_1.txt
table2_n10_novisit70_uniform-51-n10-novisit-70-rep_10,uniform-51-n10-novisit-70-rep_10,9,exact,True,286.3354055632834,8.830328425000062,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,70,uniform-51-n10-novisit-70-rep_10.txt
table2_n10_novisit80_uniform-51-n10-novisit-80-rep_1,uniform-51-n10-novisit-80-rep_1,9,exact,True,296.19444107845146,1.3538100330001726,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,80,uniform-51-n10-novisit-80-rep_1.txt
table2_n10_novisit80_uniform-51-n10-novisit-80-rep_10,uniform-51-n10-novisit-80-rep_10,9,exact,True,285.1931993034089,8.879227388000118,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),False,True,,724,10725,37550,10,80,uniform-51-n10-novisit-80-rep_10.txt
