n,seed,exact_feasible,exact_objective,exact_runtime,exact_timeout,cmsa_feasible,cmsa_objective,cmsa_runtime,improvement_gap_pct
20,1,False,,0.0,True,True,297.2848772364371,1800.166688589,
20,2,False,,0.0,True,True,298.7471052782818,1800.1744815230004,
20,3,False,,0.0,True,True,291.70903962421175,1800.1751116160003,
30,1,False,,0.0,True,True,378.59792714487753,1800.5529667990004,
30,2,False,,0.0,True,True,352.6273608972412,1800.7559583520006,
30,3,False,,0.0,True,True,372.94108318171055,1802.3205283410007,
40,1,False,,0.0,True,True,438.32694747293533,1800.7072170419997,
40,2,False,,0.0,True,True,479.31433995408617,1807.3859250250007,
40,3,False,,0.0,True,True,443.47164090337134,1805.0352622459995,
50,1,False,,0.0,True,True,529.6742757971778,1820.2709520650023,
50,2,False,,0.0,True,True,576.4987144949259,1839.7821389249984,
50,3,False,,0.0,True,True,521.079362058789,1800.4790103650012,
