tag,instance,actual_customers,instance_hash,config_hash,method,solver_backend,feasible,objective,runtime,mip_gap,status,timeout,proven_optimal,validation,n_variables,n_constraints,n_nonzeros,free_variables,active_constraints_before_presolve,active_nonzeros_before_presolve,presolved_variables,presolved_constraints,presolved_nonzeros,n_label,maxradius,source_file
table1_n10_r20_uniform-51-n10-maxradius-20,uniform-51-n10-maxradius-20,9,76b2f6f489dc1d25,8ccde3f71fb3c633,exact,highs,True,301.1840246080579,1.0941505419999658,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,20,uniform-51-n10-maxradius-20.txt
table1_n10_r20_uniform-52-n10-maxradius-20,uniform-52-n10-maxradius-20,9,cc86dd353f38d9f2,8ccde3f71fb3c633,exact,highs,True,303.87346969962573,1.1681089279999242,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,20,uniform-52-n10-maxradius-20.txt
table1_n10_r40_uniform-51-n10-maxradius-40,uniform-51-n10-maxradius-40,9,5ce1df61037f0b9d,8ccde3f71fb3c633,exact,highs,True,301.1840246080579,0.7275409889999764,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,40,uniform-51-n10-maxradius-40.txt
table1_n10_r40_uniform-52-n10-maxradius-40,uniform-52-n10-maxradius-40,9,53cffdd4fa9f0764,8ccde3f71fb3c633,exact,highs,True,303.87346969962573,2.1813106099999686,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,40,uniform-52-n10-maxradius-40.txt
table1_n10_r60_uniform-51-n10-maxradius-60,uniform-51-n10-maxradius-60,9,e57684214675e788,8ccde3f71fb3c633,exact,highs,True,301.1840246080579,1.4269718230000308,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,60,uniform-51-n10-maxradius-60.txt
table1_n10_r60_uniform-52-n10-maxradius-60,uniform-52-n10-maxradius-60,9,5303a854175f666a,8ccde3f71fb3c633,exact,highs,True,303.87346969962573,10.97706934200005,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,60,uniform-52-n10-maxradius-60.txt
table1_n10_r100_uniform-51-n10-maxradius-100,uniform-51-n10-maxradius-100,9,4159026573f3981b,8ccde3f71fb3c633,exact,highs,True,296.8801151992065,17.915920189000076,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,100,uniform-51-n10-maxradius-100.txt
table1_n10_r100_uniform-52-n10-maxradius-100,uniform-52-n10-maxradius-100,9,c94b9bc9ac849dad,8ccde3f71fb3c633,exact,highs,True,288.1741642235573,49.94241582199993,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,100,uniform-52-n10-maxradius-100.txt
table1_n10_r150_uniform-51-n10-maxradius-150,uniform-51-n10-maxradius-150,9,0361a14a781e5d78,8ccde3f71fb3c633,exact,highs,True,291.81673281891557,84.35408620999999,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,150,uniform-51-n10-maxradius-150.txt
table1_n10_r150_uniform-52-n10-maxradius-150,uniform-52-n10-maxradius-150,9,ca9fd35c416de217,8ccde3f71fb3c633,exact,highs,True,226.72089374596246,308.56416665200004,0.0,OPTIMAL,False,True,,724,10725,37550,648,10710,33382,,,,10,150,uniform-52-n10-maxradius-150.txt
