tag,instance,actual_customers,instance_hash,config_hash,method,solver_backend,feasible,objective,runtime,mip_gap,status,timeout,proven_optimal,validation,n_variables,n_constraints,n_nonzeros,free_variables,active_constraints_before_presolve,active_nonzeros_before_presolve,presolved_variables,presolved_constraints,presolved_nonzeros,n_label,novisit_pct,source_file
table2_n10_novisit10_uniform-51-n10-novisit-10-rep_1,uniform-51-n10-novisit-10-rep_1,9,2e702dd8e36e4190,8ccde3f71fb3c633,exact,highs,True,250.72572489855756,206.26855497799988,0.0,OPTIMAL,False,True,,724,10725,37550,647,10710,33353,,,,10,10,uniform-51-n10-novisit-10-rep_1.txt
table2_n10_novisit10_uniform-51-n10-novisit-10-rep_10,uniform-51-n10-novisit-10-rep_10,9,9a33182dc16e82a2,8ccde3f71fb3c633,exact,highs,True,250.72572489855756,205.71642999999676,0.0,OPTIMAL,False,True,,724,10725,37550,647,10710,33353,,,,10,10,uniform-51-n10-novisit-10-rep_10.txt
table2_n10_novisit20_uniform-51-n10-novisit-20-rep_1,uniform-51-n10-novisit-20-rep_1,9,8435f4a9d7259c3a,8ccde3f71fb3c633,exact,highs,True,263.99371744860247,86.45736917199974,0.0,OPTIMAL,False,True,,724,10725,37550,646,10710,33324,,,,10,20,uniform-51-n10-novisit-20-rep_1.txt
table2_n10_novisit20_uniform-51-n10-novisit-20-rep_10,uniform-51-n10-novisit-20-rep_10,9,c44f7389e41ce8e8,8ccde3f71fb3c633,exact,highs,True,262.10192395177137,113.07364944400251,0.0,OPTIMAL,False,True,,724,10725,37550,646,10710,33324,,,,10,20,uniform-51-n10-novisit-20-rep_10.txt
table2_n10_novisit30_uniform-51-n10-novisit-30-rep_1,uniform-51-n10-novisit-30-rep_1,9,bfc9c8aa3f7b925a,8ccde3f71fb3c633,exact,highs,True,278.71490648868917,66.39216542899885,0.0,OPTIMAL,False,True,,724,10725,37550,645,10710,33295,,,,10,30,uniform-51-n10-novisit-30-rep_1.txt
table2_n10_novisit30_uniform-51-n10-novisit-30-rep_10,uniform-51-n10-novisit-30-rep_10,9,63502f436c550ebd,8ccde3f71fb3c633,exact,highs,True,273.21788204472443,38.74406903599811,0.0,OPTIMAL,False,True,,724,10725,37550,645,10710,33295,,,,10,30,uniform-51-n10-novisit-30-rep_10.txt
table2_n10_novisit40_uniform-51-n10-novisit-40-rep_1,uniform-51-n10-novisit-40-rep_1,9,7db94a5a9d135565,8ccde3f71fb3c633,exact,highs,True,287.60077154382213,15.5002633160002,0.0,OPTIMAL,False,True,,724,10725,37550,644,10710,33266,,,,10,40,uniform-51-n10-novisit-40-rep_1.txt
table2_n10_novisit40_uniform-51-n10-novisit-40-rep_10,uniform-51-n10-novisit-40-rep_10,9,b0b579244a7c7739,8ccde3f71fb3c633,exact,highs,True,278.47366054629197,24.13070045600034,0.0,OPTIMAL,False,True,,724,10725,37550,644,10710,33266,,,,10,40,uniform-51-n10-novisit-40-rep_10.txt
table2_n10_novisit50_uniform-51-n10-novisit-50-rep_1,uniform-51-n10-novisit-50-rep_1,9,852f787f6daea8a8,8ccde3f71fb3c633,exact,highs,True,282.51589659249066,19.76855917300054,0.0,OPTIMAL,False,True,,724,10725,37550,643,10710,33237,,,,10,50,uniform-51-n10-novisit-50-rep_1.txt
table2_n10_novisit50_uniform-51-n10-novisit-50-rep_10,uniform-51-n10-novisit-50-rep_10,9,059843ac4659f103,8ccde3f71fb3c633,exact,highs,True,286.03107010289284,19.134794822999538,0.0,OPTIMAL,False,True,,724,10725,37550,643,10710,33237,,,,10,50,uniform-51-n10-novisit-50-rep_10.txt
table2_n10_novisit60_uniform-51-n10-novisit-60-rep_1,uniform-51-n10-novisit-60-rep_1,9,f8d6a15216cb6933,8ccde3f71fb3c633,exact,highs,True,278.25462181642655,23.852853827000217,0.0,OPTIMAL,False,True,,724,10725,37550,643,10710,33237,,,,10,60,uniform-51-n10-novisit-60-rep_1.txt
table2_n10_novisit60_uniform-51-n10-novisit-60-rep_10,uniform-51-n10-novisit-60-rep_10,9,02de41f63cf71ad8,8ccde3f71fb3c633,exact,highs,True,264.03603679304575,4.039656293000007,0.0,OPTIMAL,False,True,,724,10725,37550,643,10710,33237,,,,10,60,uniform-51-n10-novisit-60-rep_10.txt
table2_n10_novisit70_uniform-51-n10-novisit-70-rep_1,uniform-51-n10-novisit-70-rep_1,9,23ca87ada86399aa,8ccde3f71fb3c633,exact,highs,True,299.1186860301526,6.671248402002675,0.0,OPTIMAL,False,True,,724,10725,37550,642,10710,33208,,,,10,70,uniform-51-n10-novisit-70-rep_1.txt
table2_n10_novisit70_uniform-51-n10-novisit-70-rep_10,uniform-51-n10-novisit-70-rep_10,9,67b6399da0715725,8ccde3f71fb3c633,exact,highs,True,286.3354055632834,8.855147962000046,0.0,OPTIMAL,False,True,,724,10725,37550,642,10710,33208,,,,10,70,uniform-51-n10-novisit-70-rep_10.txt
table2_n10_novisit80_uniform-51-n10-novisit-80-rep_1,uniform-51-n10-novisit-80-rep_1,9,4998bb2fc2d59b0b,8ccde3f71fb3c633,exact,highs,True,296.19444107845146,1.382775917998515,0.0,OPTIMAL,False,True,,724,10725,37550,641,10710,33179,,,,10,80,uniform-51-n10-novisit-80-rep_1.txt
table2_n10_novisit80_uniform-51-n10-novisit-80-rep_10,uniform-51-n10-novisit-80-rep_10,9,060c3cde8120413c,8ccde3f71fb3c633,exact,highs,True,285.1931993034089,8.91518684899711,0.0,OPTIMAL,False,True,,724,10725,37550,641,10710,33179,,,,10,80,uniform-51-n10-novisit-80-rep_10.txt
