n,seed,iteration,elapsed_seconds,best_so_far,active_components
20,1,1,3.0,365.08,35
20,1,2,6.2,356.31,65
20,1,3,9.6,311.16,93
20,1,4,14.8,307.24,93
20,1,5,19.3,307.24,88
20,1,6,37.0,307.24,106
20,1,7,54.4,307.24,117
20,1,8,63.3,307.24,109
20,1,9,77.4,299.69,114
20,1,10,87.1,299.69,109
20,1,11,104.9,299.69,110
20,1,12,109.5,298.6,109
20,1,13,127.2,298.6,117
20,1,14,144.9,298.6,115
20,1,15,161.3,298.6,111
20,1,16,166.1,298.6,106
20,1,17,184.1,298.6,112
20,1,18,201.9,298.6,108
20,1,19,207.4,298.6,97
20,1,20,225.1,298.6,107
20,1,21,242.7,298.6,114
20,1,22,260.5,298.6,106
20,1,23,271.6,298.6,103
20,1,24,289.4,298.6,111
20,1,25,307.0,298.6,117
20,1,26,311.3,298.6,95
20,1,27,315.9,298.6,102
20,1,28,320.6,298.6,98
20,1,29,325.7,298.6,103
20,1,30,331.9,298.6,103
20,1,31,349.6,298.6,113
20,1,32,354.6,298.6,105
20,1,33,360.4,298.6,107
20,1,34,369.2,298.6,110
20,1,35,386.9,298.6,113
20,1,36,397.3,298.6,107
20,1,37,414.9,298.6,115
20,1,38,421.1,298.6,102
20,1,39,424.4,298.6,75
20,1,40,427.7,298.6,77
20,1,41,431.2,298.6,85
20,1,42,435.3,298.6,97
20,1,43,453.0,298.6,115
20,1,44,458.4,298.6,105
20,1,45,476.0,298.6,118
20,1,46,480.7,298.6,106
20,1,47,485.0,298.6,109
20,1,48,490.6,298.6,109
20,1,49,498.2,298.6,116
20,1,50,515.9,298.6,118
20,1,51,533.7,298.6,114
20,1,52,538.0,298.6,93
20,1,53,542.2,298.6,97
20,1,54,546.3,298.6,101
20,1,55,553.5,298.6,111
20,1,56,559.7,298.6,110
20,1,57,563.3,298.6,90
20,1,58,569.8,298.6,109
20,1,59,579.7,298.6,113
20,1,60,586.1,298.6,92
20,1,61,591.6,298.6,108
20,1,62,596.7,298.6,106
20,1,63,600.7,298.6,103
20,1,64,604.9,298.6,107
20,1,65,622.5,298.6,118
20,1,66,631.3,298.6,110
20,1,67,634.9,298.6,96
20,1,68,639.4,298.6,99
20,1,69,643.6,298.6,95
20,1,70,650.5,298.6,105
20,1,71,668.2,298.6,116
20,1,72,686.0,298.6,117
20,1,73,703.6,298.6,108
20,1,74,721.4,298.6,119
20,1,75,730.8,298.6,112
20,1,76,748.5,298.6,125
20,1,77,766.2,298.6,116
20,1,78,783.9,298.6,112
20,1,79,801.7,298.6,117
20,1,80,806.4,298.6,97
20,1,81,824.0,298.6,120
20,1,82,830.4,298.6,107
20,1,83,834.8,298.6,100
20,1,84,844.6,298.6,107
20,1,85,852.9,298.6,108
20,1,86,857.3,298.6,95
20,1,87,865.5,298.6,111
20,1,88,871.5,298.6,109
20,1,89,889.2,298.6,111
20,1,90,907.0,298.6,106
20,1,91,916.8,298.6,101
20,1,92,920.5,298.6,97
20,1,93,927.2,298.6,110
20,1,94,944.3,298.6,113
20,1,95,962.0,298.6,113
20,1,96,970.0,297.28,102
20,1,97,976.8,297.28,104
20,1,98,981.1,297.28,93
20,1,99,985.5,297.28,93
20,1,100,992.2,297.28,104
20,1,101,997.3,297.28,97
20,1,102,1015.1,297.28,112
20,1,103,1026.4,297.28,112
20,1,104,1033.4,297.28,111
20,1,105,1041.3,297.28,110
20,1,106,1059.1,297.28,115
20,1,107,1064.9,297.28,105
20,1,108,1074.3,297.28,107
20,1,109,1092.0,297.28,112
20,1,110,1100.6,297.28,110
20,1,111,1105.7,297.28,96
20,1,112,1111.7,297.28,104
20,1,113,1122.2,297.28,112
20,1,114,1140.0,297.28,120
20,1,115,1157.7,297.28,125
20,1,116,1175.2,297.28,106
20,1,117,1178.7,297.28,90
20,1,118,1188.5,297.28,116
20,1,119,1194.7,297.28,98
20,1,120,1212.4,297.28,119
20,1,121,1230.0,297.28,115
20,1,122,1247.8,297.28,116
20,1,123,1261.3,297.28,109
20,1,124,1264.6,297.28,90
20,1,125,1269.8,297.28,101
20,1,126,1276.6,297.28,108
20,1,127,1289.5,297.28,106
20,1,128,1307.2,297.28,114
20,1,129,1324.8,297.28,119
20,1,130,1342.6,297.28,106
20,1,131,1360.3,297.28,109
20,1,132,1378.0,297.28,107
